Datum,Bundesland,Infizierte,Tote
2020-03-08,Hessen,19,0
2020-03-08,Mecklenburg-Vorpommern,8,0
2020-03-08,Niedersachsen,21,0
2020-03-08,Nordrhein-Westfalen,398,0
2020-03-08,Rheinland-Pfalz,19,0
2020-03-08,Saarland,9,0
2020-03-08,Sachsen,4,0
2020-03-08,Sachsen-Anhalt,0,0
2020-03-08,Schleswig-Holstein,7,0
2020-03-08,Thüringen,2,0
2020-03-09,Baden-Württemberg,204,0
2020-03-09,Bayern,256,0
2020-03-09,Berlin,48,0
2020-03-09,Brandenburg,6,0
2020-03-09,Bremen,4,0
2020-03-09,Hamburg,17,0
2020-03-09,Hessen,26,0
2020-03-09,Mecklenburg-Vorpommern,10,0
2020-03-09,Niedersachsen,38,0
2020-03-09,Nordrhein-Westfalen,484,2
2020-03-09,Rheinland-Pfalz,17,0
2020-03-09,Saarland,6,0
2020-03-09,Sachsen,12,0
2020-03-09,Sachsen-Anhalt,0,0
2020-03-09,Schleswig-Holstein,9,0
2020-03-09,Thüringen,2,0
2020-03-10,Baden-Württemberg,237,0
2020-03-10,Bayern,314,0
2020-03-10,Berlin,48,0
2020-03-10,Brandenburg,9,0
2020-03-10,Bremen,4,0
2020-03-10,Hamburg,29,0
2020-03-10,Hessen,35,0
2020-03-10,Mecklenburg-Vorpommern,13,0
2020-03-10,Niedersachsen,49,0
2020-03-10,Nordrhein-Westfalen,484,2
2020-03-10,Rheinland-Pfalz,25,0
2020-03-10,Saarland,7,0
2020-03-10,Sachsen,22,0
2020-03-10,Sachsen-Anhalt,7,0
2020-03-10,Schleswig-Holstein,9,0
2020-03-10,Thüringen,4,0
2020-03-11,Baden-Württemberg,277,0
2020-03-11,Bayern,366,0
2020-03-11,Berlin,90,0
2020-03-11,Brandenburg,24,0
2020-03-11,Bremen,21,0
2020-03-11,Hamburg,48,0
2020-03-11,Hessen,48,0
2020-03-11,Mecklenburg-Vorpommern,17,0
2020-03-11,Niedersachsen,75,0
2020-03-11,Nordrhein-Westfalen,484,3
2020-03-11,Rheinland-Pfalz,25,0
2020-03-11,Saarland,14,0
2020-03-11,Sachsen,26,0
2020-03-11,Sachsen-Anhalt,15,0
2020-03-11,Schleswig-Holstein,27,0
2020-03-11,Thüringen,10,0
2020-03-12,Baden-Württemberg,454,1
2020-03-12,Bayern,500,1
2020-03-12,Berlin,137,0
2020-03-12,Brandenburg,30,0
2020-03-12,Bremen,38,0
2020-03-12,Hamburg,88,0
2020-03-12,Hessen,99,0
2020-03-12,Mecklenburg-Vorpommern,23,0
2020-03-12,Niedersachsen,129,0
2020-03-12,Nordrhein-Westfalen,688,3
2020-03-12,Rheinland-Pfalz,52,0
2020-03-12,Saarland,14,0
2020-03-12,Sachsen,45,0
2020-03-12,Sachsen-Anhalt,27,0
2020-03-12,Schleswig-Holstein,31,0
2020-03-12,Thüringen,14,0
2020-03-13,Baden-Württemberg,454,1
2020-03-13,Bayern,558,1
2020-03-13,Berlin,174,0
2020-03-13,Brandenburg,44,0
2020-03-13,Bremen,42,0
2020-03-13,Hamburg,99,0
2020-03-13,Hessen,148,0
2020-03-13,Mecklenburg-Vorpommern,33,0
2020-03-13,Niedersachsen,230,0
2020-03-13,Nordrhein-Westfalen,936,3
2020-03-13,Rheinland-Pfalz,102,0
2020-03-13,Saarland,40,0
2020-03-13,Sachsen,83,0
2020-03-13,Sachsen-Anhalt,42,0
2020-03-13,Schleswig-Holstein,48,0
2020-03-13,Thüringen,29,0
2020-03-14,Baden-Württemberg,569,2
2020-03-14,Bayern,681,1
2020-03-14,Berlin,216,0
2020-03-14,Brandenburg,61,0
2020-03-14,Bremen,50,0
2020-03-14,Hamburg,158,0
2020-03-14,Hessen,203,0
2020-03-14,Mecklenburg-Vorpommern,45,0
2020-03-14,Niedersachsen,253,0
2020-03-14,Nordrhein-Westfalen,1154,5
2020-03-14,Rheinland-Pfalz,121,0
2020-03-14,Saarland,40,0
2020-03-14,Sachsen,93,0
2020-03-14,Sachsen-Anhalt,45,0
2020-03-14,Schleswig-Holstein,60,0
2020-03-14,Thüringen,46,0
2020-03-15,Baden-Württemberg,827,3
2020-03-15,Bayern,886,4
2020-03-15,Berlin,265,0
2020-03-15,Brandenburg,84,0
2020-03-15,Bremen,53,0
2020-03-15,Hamburg,162,0
2020-03-15,Hessen,286,0
2020-03-15,Mecklenburg-Vorpommern,50,0
2020-03-15,Niedersachsen,287,0
2020-03-15,Nordrhein-Westfalen,1407,5
2020-03-15,Rheinland-Pfalz,168,0
2020-03-15,Saarland,32,0
2020-03-15,Sachsen,130,0
2020-03-15,Sachsen-Anhalt,47,0
2020-03-15,Schleswig-Holstein,103,0
2020-03-15,Thüringen,51,0
2020-03-16,Baden-Württemberg,1105,3
2020-03-16,Bayern,1067,5
2020-03-16,Berlin,300,0
2020-03-16,Brandenburg,94,0
2020-03-16,Bremen,56,0
2020-03-16,Hamburg,260,0
2020-03-16,Hessen,342,0
2020-03-16,Mecklenburg-Vorpommern,51,0
2020-03-16,Niedersachsen,391,0
2020-03-16,Nordrhein-Westfalen,1541,5
2020-03-16,Rheinland-Pfalz,325,0
2020-03-16,Saarland,85,0
2020-03-16,Sachsen,140,0
2020-03-16,Sachsen-Anhalt,77,0
2020-03-16,Schleswig-Holstein,123,0
2020-03-16,Thüringen,55,0
2020-03-17,Baden-Württemberg,1479,2
2020-03-17,Bayern,1109,4
2020-03-17,Berlin,345,0
2020-03-17,Brandenburg,73,0
2020-03-17,Bremen,57,0
2020-03-17,Hamburg,310,0
2020-03-17,Hessen,373,0
2020-03-17,Mecklenburg-Vorpommern,45,0
2020-03-17,Niedersachsen,325,0
2020-03-17,Nordrhein-Westfalen,2105,6
2020-03-17,Rheinland-Pfalz,442,0
2020-03-17,Saarland,75,0
2020-03-17,Sachsen,182,0
2020-03-17,Sachsen-Anhalt,58,0
2020-03-17,Schleswig-Holstein,127,0
2020-03-17,Thüringen,51,0
2020-03-18,Baden-Württemberg,1609,2
2020-03-18,Bayern,1243,4
2020-03-18,Berlin,391,0
2020-03-18,Brandenburg,92,0
2020-03-18,Bremen,69,0
2020-03-18,Hamburg,358,0
2020-03-18,Hessen,432,0
2020-03-18,Mecklenburg-Vorpommern,56,0
2020-03-18,Niedersachsen,478,0
2020-03-18,Nordrhein-Westfalen,2372,6
2020-03-18,Rheinland-Pfalz,474,0
2020-03-18,Saarland,88,0
2020-03-18,Sachsen,198,0
2020-03-18,Sachsen-Anhalt,105,0
2020-03-18,Schleswig-Holstein,159,0
2020-03-18,Thüringen,74,0
2020-03-19,Baden-Württemberg,2155,6
2020-03-19,Bayern,1692,8
2020-03-19,Berlin,573,0
2020-03-19,Brandenburg,134,0
2020-03-19,Bremen,80,0
2020-03-19,Hamburg,432,0
2020-03-19,Hessen,682,0
2020-03-19,Mecklenburg-Vorpommern,98,0
2020-03-19,Niedersachsen,669,0
2020-03-19,Nordrhein-Westfalen,3033,6
2020-03-19,Rheinland-Pfalz,637,0
2020-03-19,Saarland,99,0
2020-03-19,Sachsen,275,0
2020-03-19,Sachsen-Anhalt,140,0
2020-03-19,Schleswig-Holstein,202,0
2020-03-19,Thüringen,98,0
2020-03-20,Baden-Württemberg,2746,10
2020-03-20,Bayern,2401,12
2020-03-20,Berlin,731,0
2020-03-20,Brandenburg,192,0
2020-03-20,Bremen,121,0
2020-03-20,Hamburg,586,0
2020-03-20,Hessen,813,1
2020-03-20,Mecklenburg-Vorpommern,131,0
2020-03-20,Niedersachsen,803,0
2020-03-20,Nordrhein-Westfalen,3497,6
2020-03-20,Rheinland-Pfalz,801,1
2020-03-20,Saarland,146,0
2020-03-20,Sachsen,394,0
2020-03-20,Sachsen-Anhalt,180,0
2020-03-20,Schleswig-Holstein,266,1
2020-03-20,Thüringen,149,0
2020-03-21,Baden-Württemberg,3668,16
2020-03-21,Bayern,2960,19
2020-03-21,Berlin,866,1
2020-03-21,Brandenburg,254,0
2020-03-21,Bremen,142,0
2020-03-21,Hamburg,587,0
2020-03-21,Hessen,1080,2
2020-03-21,Mecklenburg-Vorpommern,165,0
2020-03-21,Niedersachsen,1023,0
2020-03-21,Nordrhein-Westfalen,3542,6
2020-03-21,Rheinland-Pfalz,938,1
2020-03-21,Saarland,187,0
2020-03-21,Sachsen,567,0
2020-03-21,Sachsen-Anhalt,188,0
2020-03-21,Schleswig-Holstein,308,1
2020-03-21,Thüringen,187,0
2020-03-22,Baden-Württemberg,3807,21
2020-03-22,Bayern,3650,21
2020-03-22,Berlin,1024,1
2020-03-22,Brandenburg,274,0
2020-03-22,Bremen,165,0
2020-03-22,Hamburg,872,0
2020-03-22,Hessen,1175,2
2020-03-22,Mecklenburg-Vorpommern,172,0
2020-03-22,Niedersachsen,1306,1
2020-03-22,Nordrhein-Westfalen,3545,6
2020-03-22,Rheinland-Pfalz,1053,2
2020-03-22,Saarland,187,0
2020-03-22,Sachsen,606,0
2020-03-22,Sachsen-Anhalt,211,0
2020-03-22,Schleswig-Holstein,347,1
2020-03-22,Thüringen,216,0
2020-03-23,Baden-Württemberg,3811,21
2020-03-23,Bayern,4892,26
2020-03-23,Berlin,1077,1
2020-03-23,Brandenburg,288,0
2020-03-23,Bremen,170,0
2020-03-23,Hamburg,943,0
2020-03-23,Hessen,1347,3
2020-03-23,Mecklenburg-Vorpommern,172,0
2020-03-23,Niedersachsen,1483,4
2020-03-23,Nordrhein-Westfalen,5615,28
2020-03-23,Rheinland-Pfalz,1177,2
2020-03-23,Saarland,200,0
2020-03-23,Sachsen,653,0
2020-03-23,Sachsen-Anhalt,212,0
2020-03-23,Schleswig-Holstein,383,1
2020-03-23,Thüringen,249,0
2020-03-24,Baden-Württemberg,5348,30
2020-03-24,Bayern,5754,30
2020-03-24,Berlin,1220,1
2020-03-24,Brandenburg,343,0
2020-03-24,Bremen,183,0
2020-03-24,Hamburg,1043,0
2020-03-24,Hessen,1620,4
2020-03-24,Mecklenburg-Vorpommern,199,0
2020-03-24,Niedersachsen,1764,6
2020-03-24,Nordrhein-Westfalen,6318,33
2020-03-24,Rheinland-Pfalz,1370,5
2020-03-24,Saarland,337,1
2020-03-24,Sachsen,811,1
2020-03-24,Sachsen-Anhalt,321,0
2020-03-24,Schleswig-Holstein,478,2
2020-03-24,Thüringen,327,1
2020-03-25,Baden-Württemberg,6069,37
2020-03-25,Bayern,6558,37
2020-03-25,Berlin,1428,2
2020-03-25,Brandenburg,429,1
2020-03-25,Bremen,200,0
2020-03-25,Hamburg,1262,0
2020-03-25,Hessen,1754,4
2020-03-25,Mecklenburg-Vorpommern,218,0
2020-03-25,Niedersachsen,2140,7
2020-03-25,Nordrhein-Westfalen,7197,43
2020-03-25,Rheinland-Pfalz,1591,5
2020-03-25,Saarland,403,2
2020-03-25,Sachsen,959,6
2020-03-25,Sachsen-Anhalt,375,1
2020-03-25,Schleswig-Holstein,577,3
2020-03-25,Thüringen,394,1
2020-03-26,Baden-Württemberg,7283,56
2020-03-26,Bayern,7993,47
2020-03-26,Berlin,1656,4
2020-03-26,Brandenburg,477,1
2020-03-26,Bremen,211,1
2020-03-26,Hamburg,1265,0
2020-03-26,Hessen,2157,6
2020-03-26,Mecklenburg-Vorpommern,244,0
2020-03-26,Niedersachsen,2347,8
2020-03-26,Nordrhein-Westfalen,7924,53
2020-03-26,Rheinland-Pfalz,1816,6
2020-03-26,Saarland,433,2
2020-03-26,Sachsen,1141,7
2020-03-26,Sachsen-Anhalt,418,1
2020-03-26,Schleswig-Holstein,675,3
2020-03-26,Thüringen,468,3
2020-03-27,Baden-Württemberg,8161,70
2020-03-27,Bayern,9481,55
2020-03-27,Berlin,1955,8
2020-03-27,Brandenburg,537,1
2020-03-27,Bremen,241,1
2020-03-27,Hamburg,1693,2
2020-03-27,Hessen,2323,7
2020-03-27,Mecklenburg-Vorpommern,259,0
2020-03-27,Niedersachsen,2810,10
2020-03-27,Nordrhein-Westfalen,9235,72
2020-03-27,Rheinland-Pfalz,1971,8
2020-03-27,Saarland,505,2
2020-03-27,Sachsen,1305,7
2020-03-27,Sachsen-Anhalt,458,2
2020-03-27,Schleswig-Holstein,812,4
2020-03-27,Thüringen,542,4
2020-03-28,Baden-Württemberg,9781,101
2020-03-28,Bayern,11150,77
2020-03-28,Berlin,2161,8
2020-03-28,Brandenburg,645,1
2020-03-28,Bremen,260,2
2020-03-28,Hamburg,1765,2
2020-03-28,Hessen,2604,9
2020-03-28,Mecklenburg-Vorpommern,308,0
2020-03-28,Niedersachsen,3150,12
2020-03-28,Nordrhein-Westfalen,10607,80
2020-03-28,Rheinland-Pfalz,2212,11
2020-03-28,Saarland,550,2
2020-03-28,Sachsen,1432,9
2020-03-28,Sachsen-Anhalt,458,2
2020-03-28,Schleswig-Holstein,915,4
2020-03-28,Thüringen,584,5
2020-03-29,Baden-Württemberg,9794,101
2020-03-29,Bayern,12881,107
2020-03-29,Berlin,2360,9
2020-03-29,Brandenburg,721,1
2020-03-29,Bremen,275,2
2020-03-29,Hamburg,1846,4
2020-03-29,Hessen,2605,9
2020-03-29,Mecklenburg-Vorpommern,348,1
2020-03-29,Niedersachsen,3450,21
2020-03-29,Nordrhein-Westfalen,11400,98
2020-03-29,Rheinland-Pfalz,2396,12
2020-03-29,Saarland,560,2
2020-03-29,Sachsen,1617,9
2020-03-29,Sachsen-Anhalt,592,2
2020-03-29,Schleswig-Holstein,1005,6
2020-03-29,Thüringen,697,5
2020-03-30,Baden-Württemberg,10943,119
2020-03-30,Bayern,13989,127
2020-03-30,Berlin,2464,11
2020-03-30,Brandenburg,761,2
2020-03-30,Bremen,286,2
2020-03-30,Hamburg,2053,5
2020-03-30,Hessen,3091,13
2020-03-30,Mecklenburg-Vorpommern,356,1
2020-03-30,Niedersachsen,3732,26
2020-03-30,Nordrhein-Westfalen,12178,101
2020-03-30,Rheinland-Pfalz,2584,18
2020-03-30,Saarland,706,7
2020-03-30,Sachsen,1795,9
2020-03-30,Sachsen-Anhalt,592,2
2020-03-30,Schleswig-Holstein,1049,7
2020-03-30,Thüringen,719,5
2020-03-31,Baden-Württemberg,12334,165
2020-03-31,Bayern,14810,162
2020-03-31,Berlin,2575,13
2020-03-31,Brandenburg,798,2
2020-03-31,Bremen,294,4
2020-03-31,Hamburg,2191,9
2020-03-31,Hessen,3283,17
2020-03-31,Mecklenburg-Vorpommern,366,1
2020-03-31,Niedersachsen,4063,34
2020-03-31,Nordrhein-Westfalen,13225,117
2020-03-31,Rheinland-Pfalz,2726,19
2020-03-31,Saarland,782,7
2020-03-31,Sachsen,1882,12
2020-03-31,Sachsen-Anhalt,680,6
2020-03-31,Schleswig-Holstein,1120,9
2020-03-31,Thüringen,784,6
2020-04-01,Baden-Württemberg,13410,197
2020-04-01,Bayern,16497,225
2020-04-01,Berlin,2754,16
2020-04-01,Brandenburg,881,4
2020-04-01,Bremen,311,5
2020-04-01,Hamburg,2311,14
2020-04-01,Hessen,3445,21
2020-04-01,Mecklenburg-Vorpommern,406,3
2020-04-01,Niedersachsen,4382,42
2020-04-01,Nordrhein-Westfalen,14351,134
2020-04-01,Rheinland-Pfalz,2899,23
2020-04-01,Saarland,829,8
2020-04-01,Sachsen,2034,17
2020-04-01,Sachsen-Anhalt,750,7
2020-04-01,Schleswig-Holstein,1246,10
2020-04-01,Thüringen,860,6
2020-04-02,Baden-Württemberg,14662,241
2020-04-02,Bayern,18496,268
2020-04-02,Berlin,2970,19
2020-04-02,Brandenburg,995,7
2020-04-02,Bremen,327,6
2020-04-02,Hamburg,2406,14
2020-04-02,Hessen,3707,27
2020-04-02,Mecklenburg-Vorpommern,438,3
2020-04-02,Niedersachsen,4695,45
2020-04-02,Nordrhein-Westfalen,15427,161
2020-04-02,Rheinland-Pfalz,3132,26
2020-04-02,Saarland,1020,11
2020-04-02,Sachsen,2183,18
2020-04-02,Sachsen-Anhalt,804,8
2020-04-02,Schleswig-Holstein,1335,11
2020-04-02,Thüringen,925,7
2020-04-03,Baden-Württemberg,16059,285
2020-04-03,Bayern,20237,307
2020-04-03,Berlin,3202,20
2020-04-03,Brandenburg,1075,9
2020-04-03,Bremen,341,6
2020-04-03,Hamburg,2596,16
2020-04-03,Hessen,3993,33
2020-04-03,Mecklenburg-Vorpommern,468,4
2020-04-03,Niedersachsen,5081,65
2020-04-03,Nordrhein-Westfalen,16606,178
2020-04-03,Rheinland-Pfalz,3362,26
2020-04-03,Saarland,1079,12
2020-04-03,Sachsen,2336,21
2020-04-03,Sachsen-Anhalt,836,11
2020-04-03,Schleswig-Holstein,1443,15
2020-04-03,Thüringen,982,9
2020-04-04,Baden-Württemberg,17014,316
2020-04-04,Bayern,21908,349
2020-04-04,Berlin,3471,22
2020-04-04,Brandenburg,1211,12
2020-04-04,Bremen,354,6
2020-04-04,Hamburg,2697,16
2020-04-04,Hessen,4279,42
2020-04-04,Mecklenburg-Vorpommern,501,5
2020-04-04,Niedersachsen,5571,85
2020-04-04,Nordrhein-Westfalen,17885,200
2020-04-04,Rheinland-Pfalz,3504,29
2020-04-04,Saarland,1265,14
2020-04-04,Sachsen,2591,24
2020-04-04,Sachsen-Anhalt,896,11
2020-04-04,Schleswig-Holstein,1559,17
2020-04-04,Thüringen,1072,10
2020-04-05,Baden-Württemberg,18614,367
2020-04-05,Bayern,23846,396
2020-04-05,Berlin,3613,24
2020-04-05,Brandenburg,1305,17
2020-04-05,Bremen,394,6
2020-04-05,Hamburg,2945,19
2020-04-05,Hessen,4575,56
2020-04-05,Mecklenburg-Vorpommern,523,5
2020-04-05,Niedersachsen,5712,89
2020-04-05,Nordrhein-Westfalen,18735,245
2020-04-05,Rheinland-Pfalz,3663,32
2020-04-05,Saarland,1358,14
2020-04-05,Sachsen,2741,32
2020-04-05,Sachsen-Anhalt,919,12
2020-04-05,Schleswig-Holstein,1631,18
2020-04-05,Thüringen,1140,10
2020-04-06,Baden-Württemberg,19395,387
2020-04-06,Bayern,24974,437
2020-04-06,Berlin,3670,26
2020-04-06,Brandenburg,1345,19
2020-04-06,Bremen,397,8
2020-04-06,Hamburg,2993,19
2020-04-06,Hessen,4674,61
2020-04-06,Mecklenburg-Vorpommern,528,6
2020-04-06,Niedersachsen,5960,92
2020-04-06,Nordrhein-Westfalen,19384,255
2020-04-06,Rheinland-Pfalz,3882,32
2020-04-06,Saarland,1483,14
2020-04-06,Sachsen,2903,34
2020-04-06,Sachsen-Anhalt,956,12
2020-04-06,Schleswig-Holstein,1671,20
2020-04-06,Thüringen,1176,12
2020-04-07,Baden-Württemberg,20141,433
2020-04-07,Bayern,26163,481
2020-04-07,Berlin,3845,28
2020-04-07,Brandenburg,1384,20
2020-04-07,Bremen,399,9
2020-04-07,Hamburg,3059,20
2020-04-07,Hessen,4837,73
2020-04-07,Mecklenburg-Vorpommern,531,8
2020-04-07,Niedersachsen,6200,111
2020-04-07,Nordrhein-Westfalen,20220,282
2020-04-07,Rheinland-Pfalz,3992,34
2020-04-07,Saarland,1532,16
2020-04-07,Sachsen,2997,38
2020-04-07,Sachsen-Anhalt,987,12
2020-04-07,Schleswig-Holstein,1730,24
2020-04-07,Thüringen,1208,18
2020-04-08,Baden-Württemberg,20680,464
2020-04-08,Bayern,27564,564
2020-04-08,Berlin,4028,32
2020-04-08,Brandenburg,1472,22
2020-04-08,Bremen,424,10
2020-04-08,Hamburg,3165,23
2020-04-08,Hessen,4965,84
2020-04-08,Mecklenburg-Vorpommern,555,11
2020-04-08,Niedersachsen,6385,121
2020-04-08,Nordrhein-Westfalen,20929,348
2020-04-08,Rheinland-Pfalz,4148,45
2020-04-08,Saarland,1637,23
2020-04-08,Sachsen,3144,50
2020-04-08,Sachsen-Anhalt,1020,16
2020-04-08,Schleswig-Holstein,1827,28
2020-04-08,Thüringen,1285,20
2020-04-09,Baden-Württemberg,21603,519
2020-04-09,Bayern,28827,635
2020-04-09,Berlin,4202,37
2020-04-09,Brandenburg,1578,30
2020-04-09,Bremen,445,11
2020-04-09,Hamburg,3320,44
2020-04-09,Hessen,5242,100
2020-04-09,Mecklenburg-Vorpommern,572,11
2020-04-09,Niedersachsen,6804,141
2020-04-09,Nordrhein-Westfalen,21961,384
2020-04-09,Rheinland-Pfalz,4336,50
2020-04-09,Saarland,1693,23
2020-04-09,Sachsen,3261,52
2020-04-09,Sachsen-Anhalt,1075,16
2020-04-09,Schleswig-Holstein,1932,34
2020-04-09,Thüringen,1351,20
2020-04-10,Baden-Württemberg,22433,570
2020-04-10,Bayern,30363,703
2020-04-10,Berlin,4349,42
2020-04-10,Brandenburg,1691,37
2020-04-10,Bremen,454,13
2020-04-10,Hamburg,3551,53
2020-04-10,Hessen,5694,111
2020-04-10,Mecklenburg-Vorpommern,586,11
2020-04-10,Niedersachsen,7114,161
2020-04-10,Nordrhein-Westfalen,23028,446
2020-04-10,Rheinland-Pfalz,4440,51
2020-04-10,Saarland,1854,36
2020-04-10,Sachsen,3402,59
2020-04-10,Sachsen-Anhalt,1121,18
2020-04-10,Schleswig-Holstein,2029,38
2020-04-10,Thüringen,1416,24
2020-04-11,Baden-Württemberg,23617,622
2020-04-11,Bayern,31453,747
2020-04-11,Berlin,4458,46
2020-04-11,Brandenburg,1764,37
2020-04-11,Bremen,469,15
2020-04-11,Hamburg,3663,56
2020-04-11,Hessen,5808,120
2020-04-11,Mecklenburg-Vorpommern,601,11
2020-04-11,Niedersachsen,7343,171
2020-04-11,Nordrhein-Westfalen,23644,472
2020-04-11,Rheinland-Pfalz,4622,59
2020-04-11,Saarland,2016,41
2020-04-11,Sachsen,3565,65
2020-04-11,Sachsen-Anhalt,1135,18
2020-04-11,Schleswig-Holstein,2065,39
2020-04-11,Thüringen,1435,25
2020-04-12,Baden-Württemberg,24078,649
2020-04-12,Bayern,32282,786
2020-04-12,Berlin,4567,50
2020-04-12,Brandenburg,1857,38
2020-04-12,Bremen,480,15
2020-04-12,Hamburg,3742,56
2020-04-12,Hessen,5859,123
2020-04-12,Mecklenburg-Vorpommern,605,11
2020-04-12,Niedersachsen,7602,189
2020-04-12,Nordrhein-Westfalen,24267,495
2020-04-12,Rheinland-Pfalz,4734,64
2020-04-12,Saarland,2058,43
2020-04-12,Sachsen,3600,67
2020-04-12,Sachsen-Anhalt,1166,21
2020-04-12,Schleswig-Holstein,2118,41
2020-04-12,Thüringen,1464,25
2020-04-13,Baden-Württemberg,24570,677
2020-04-13,Bayern,33015,820
2020-04-13,Berlin,4601,51
2020-04-13,Brandenburg,1880,38
2020-04-13,Bremen,486,17
2020-04-13,Hamburg,3770,56
2020-04-13,Hessen,6114,135
2020-04-13,Mecklenburg-Vorpommern,618,11
2020-04-13,Niedersachsen,7723,201
2020-04-13,Nordrhein-Westfalen,24883,518
2020-04-13,Rheinland-Pfalz,4810,68
2020-04-13,Saarland,2079,44
2020-04-13,Sachsen,3655,68
2020-04-13,Sachsen-Anhalt,1193,24
2020-04-13,Schleswig-Holstein,2134,44
2020-04-13,Thüringen,1485,27
2020-04-14,Baden-Württemberg,25040,711
2020-04-14,Bayern,33569,872
2020-04-14,Berlin,4668,56
2020-04-14,Brandenburg,1916,40
2020-04-14,Bremen,492,20
2020-04-14,Hamburg,3808,59
2020-04-14,Hessen,6183,147
2020-04-14,Mecklenburg-Vorpommern,619,11
2020-04-14,Niedersachsen,7885,211
